Postal Code,Borough,Neighborhood,Latitude,Longitude
M1B,Scarborough,"Malvern, Rouge",43.806686299999996,-79.19435340000001
M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek",43.7845351,-79.16049709999999
M1E,Scarborough,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115
M1G,Scarborough,Woburn,43.7709921,-79.21691740000001
M1H,Scarborough,Cedarbrae,43.773136,-79.23947609999999
M1J,Scarborough,Scarborough Village,43.7447342,-79.23947609999999
M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002
M1L,Scarborough,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772
M1M,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West",43.716316,-79.23947609999999
M1N,Scarborough,"Birch Cliff, Cliffside West",43.692657000000004,-79.2648481
M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001
M1R,Scarborough,"Wexford, Maryvale",43.750071500000004,-79.2958491
M1S,Scarborough,Agincourt,43.7942003,-79.26202940000002
M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",43.7816375,-79.3043021
M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.8152522,-79.2845772
M1W,Scarborough,"Steeles West, L'Amoreaux West",43.799525200000005,-79.3183887
M1X,Scarborough,Upper Rouge,43.836124700000006,-79.20563609999999
M2H,North York,Hillcrest Village,43.8037622,-79.3634517
M2J,North York,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557
M2K,North York,Bayview Village,43.7869473,-79.385975
M2L,North York,"York Mills, Silver Hills",43.7574902,-79.37471409999999
M2M,North York,"Willowdale, Newtonbrook",43.789053,-79.40849279999999
M2N,North York,"Willowdale, Willowdale East",43.7701199,-79.40849279999999
M2P,North York,York Mills West,43.752758299999996,-79.4000493
M2R,North York,"Willowdale, Willowdale West",43.7827364,-79.4422593
M3A,North York,Parkwoods,43.7532586,-79.3296565
M3B,North York,Don Mills,43.745905799999996,-79.352188
M3C,North York,Don Mills,43.72589970000001,-79.340923
M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593
M3J,North York,"Northwood Park, York University",43.7679803,-79.48726190000001
M3K,North York,Downsview,43.737473200000004,-79.46476329999999
M3L,North York,Downsview,43.7390146,-79.5069436
M3M,North York,Downsview,43.7284964,-79.49569740000001
M3N,North York,Downsview,43.7616313,-79.52099940000001
M4A,North York,Victoria Village,43.725882299999995,-79.31557159999998
M4B,East York,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937
M4C,East York,Woodbine Heights,43.695343900000005,-79.3183887
M4E,East Toronto,The Beaches,43.67635739999999,-79.2930312
M4G,East York,Leaside,43.7090604,-79.3634517
M4H,East York,Thorncliffe Park,43.7053689,-79.34937190000001
M4J,East York,"East Toronto, Broadview North (Old East York)",43.685347,-79.3381065
M4K,East Toronto,"The Danforth West, Riverdale",43.6795571,-79.352188
M4L,East Toronto,"India Bazaar, The Beaches West",43.6689985,-79.31557159999998
M4M,East Toronto,Studio District,43.6595255,-79.340923
M4N,Central Toronto,Lawrence Park,43.7280205,-79.3887901
M4P,Central Toronto,Davisville North,43.7127511,-79.3901975
M4R,Central Toronto,"North Toronto West, Lawrence Park",43.7153834,-79.40567840000001
M4S,Central Toronto,Davisville,43.7043244,-79.3887901
M4T,Central Toronto,"Moore Park, Summerhill East",43.6895743,-79.38315990000001
M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",43.68641229999999,-79.4000493
M4W,Downtown Toronto,Rosedale,43.6795626,-79.37752940000001
M4X,Downtown Toronto,"St. James Town, Cabbagetown",43.667967,-79.3676753
M4Y,Downtown Toronto,Church and Wellesley,43.6658599,-79.38315990000001
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359
M5B,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999
M5C,Downtown Toronto,St. James Town,43.6514939,-79.3754179
M5E,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064
M5G,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826
M5H,Downtown Toronto,"Richmond, Adelaide, King",43.65057120000001,-79.3845675
M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.6408157,-79.38175229999999
M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.6471768,-79.38157640000001
M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.6481985,-79.37981690000001
M5M,North York,"Bedford Park, Lawrence Manor East",43.7332825,-79.4197497
M5N,Central Toronto,Roselawn,43.7116948,-79.41693559999999
M5P,Central Toronto,"Forest Hill North & West, Forest Hill Road Park",43.6969476,-79.41130720000001
M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.6727097,-79.40567840000001
